"","Modelo","overall_accuracy","overall_error","Factor_0_Accuracy","Factor_1_Accuracy","Factor_2_Accuracy","Factor_3_Accuracy","Detalle_1","experimento","grupo","dataset"
"resumen_metricas.113","modelo_arboles - information",0.79,0.21,0.94444,0.64151,0.68817,0.88172,"minsplit=2",3,4,"moviles111"
"resumen_metricas14","modelo_arboles - Gini",0.8075,0.1925,0.94681,0.70642,0.71845,0.88298,"minsplit=2",3,5,"moviles111"
"resumen_metricas.114","modelo_arboles - information",0.795,0.205,0.94681,0.66055,0.72816,0.87234,"minsplit=2",3,5,"moviles111"
"resumen_metricas15","modelo_arboles - Gini",0.8025,0.1975,0.96591,0.74444,0.65766,0.86486,"minsplit=2",1,1,"moviles112"
"resumen_metricas.115","modelo_arboles - information",0.79,0.21,0.98864,0.63333,0.68468,0.86486,"minsplit=2",1,1,"moviles112"
"resumen_metricas16","modelo_arboles - Gini",0.7725,0.2275,0.90323,0.69903,0.66019,0.84158,"minsplit=2",1,2,"moviles112"
"resumen_metricas.116","modelo_arboles - information",0.7725,0.2275,0.92473,0.66019,0.67961,0.84158,"minsplit=2",1,2,"moviles112"
"resumen_metricas21","modelo_arboles - Gini",0.8175,0.1825,0.9322,0.69369,0.725,0.9011,"minsplit=2",1,3,"moviles112"
"resumen_metricas.121","modelo_arboles - information",0.82,0.18,0.94068,0.69369,0.725,0.9011,"minsplit=2",1,3,"moviles112"
"resumen_metricas31","modelo_arboles - Gini",0.795,0.205,0.9,0.7551,0.70192,0.82653,"minsplit=2",1,4,"moviles112"
"resumen_metricas.131","modelo_arboles - information",0.805,0.195,0.9,0.71429,0.76923,0.83673,"minsplit=2",1,4,"moviles112"
"resumen_metricas41","modelo_arboles - Gini",0.8225,0.1775,0.88119,0.7551,0.70588,0.94949,"minsplit=2",1,5,"moviles112"
"resumen_metricas.141","modelo_arboles - information",0.8075,0.1925,0.92079,0.71429,0.72549,0.86869,"minsplit=2",1,5,"moviles112"
"resumen_metricas51","modelo_arboles - Gini",0.7875,0.2125,0.91509,0.66667,0.61165,0.95789,"minsplit=2",2,1,"moviles112"
"resumen_metricas.151","modelo_arboles - information",0.785,0.215,0.93396,0.63542,0.67961,0.88421,"minsplit=2",2,1,"moviles112"
"resumen_metricas61","modelo_arboles - Gini",0.8175,0.1825,0.93617,0.74747,0.76147,0.83673,"minsplit=2",2,2,"moviles112"
"resumen_metricas.161","modelo_arboles - information",0.7925,0.2075,0.87234,0.69697,0.77064,0.83673,"minsplit=2",2,2,"moviles112"
"resumen_metricas71","modelo_arboles - Gini",0.8,0.2,0.9011,0.75862,0.68478,0.86139,"minsplit=2",2,3,"moviles112"
"resumen_metricas.171","modelo_arboles - information",0.7875,0.2125,0.94505,0.66379,0.70652,0.86139,"minsplit=2",2,3,"moviles112"
"resumen_metricas81","modelo_arboles - Gini",0.8,0.2,0.95,0.64151,0.72222,0.88462,"minsplit=2",2,4,"moviles112"
"resumen_metricas.181","modelo_arboles - information",0.805,0.195,0.95,0.58491,0.8,0.89423,"minsplit=2",2,4,"moviles112"
"resumen_metricas91","modelo_arboles - Gini",0.7975,0.2025,0.95413,0.72289,0.66038,0.83333,"minsplit=2",2,5,"moviles112"
"resumen_metricas.191","modelo_arboles - information",0.8,0.2,0.95413,0.66265,0.71698,0.83333,"minsplit=2",2,5,"moviles112"
"resumen_metricas101","modelo_arboles - Gini",0.825,0.175,0.96939,0.79348,0.56701,0.9469,"minsplit=2",3,1,"moviles112"
"resumen_metricas.1101","modelo_arboles - information",0.82,0.18,0.96939,0.67391,0.73196,0.88496,"minsplit=2",3,1,"moviles112"
"resumen_metricas111","modelo_arboles - Gini",0.8175,0.1825,0.91579,0.8,0.7265,0.84694,"minsplit=2",3,2,"moviles112"
"resumen_metricas.1111","modelo_arboles - information",0.805,0.195,0.91579,0.74444,0.79487,0.76531,"minsplit=2",3,2,"moviles112"
"resumen_metricas121","modelo_arboles - Gini",0.7725,0.2275,0.92,0.64486,0.67442,0.84112,"minsplit=2",3,3,"moviles112"
"resumen_metricas.1121","modelo_arboles - information",0.7725,0.2275,0.95,0.60748,0.68605,0.84112,"minsplit=2",3,3,"moviles112"
"resumen_metricas131","modelo_arboles - Gini",0.7875,0.2125,0.93939,0.68269,0.63265,0.89899,"minsplit=2",3,4,"moviles112"
"resumen_metricas.1131","modelo_arboles - information",0.8,0.2,0.9697,0.64423,0.69388,0.89899,"minsplit=2",3,4,"moviles112"
"resumen_metricas141","modelo_arboles - Gini",0.8175,0.1825,0.90741,0.74766,0.69608,0.93976,"minsplit=2",3,5,"moviles112"
"resumen_metricas.1141","modelo_arboles - information",0.8225,0.1775,0.94444,0.66355,0.83333,0.85542,"minsplit=2",3,5,"moviles112"
"resumen_metricas17","modelo_arboles - Gini",0.795,0.205,0.9537,0.75904,0.63636,0.82828,"minsplit=2",1,1,"moviles121"
"resumen_metricas.117","modelo_arboles - information",0.7875,0.2125,0.97222,0.71084,0.62727,0.82828,"minsplit=2",1,1,"moviles121"
"resumen_metricas18","modelo_arboles - Gini",0.7975,0.2025,0.89423,0.65347,0.75904,0.86607,"minsplit=2",1,2,"moviles121"
"resumen_metricas.118","modelo_arboles - information",0.7825,0.2175,0.92308,0.61386,0.6988,0.86607,"minsplit=2",1,2,"moviles121"
"resumen_metricas22","modelo_arboles - Gini",0.785,0.215,0.89362,0.72115,0.69828,0.86047,"minsplit=2",1,3,"moviles121"
"resumen_metricas.122","modelo_arboles - information",0.7775,0.2225,0.91489,0.71154,0.66379,0.86047,"minsplit=2",1,3,"moviles121"
"resumen_metricas32","modelo_arboles - Gini",0.8275,0.1725,0.96939,0.79048,0.72,0.83505,"minsplit=2",1,4,"moviles121"
"resumen_metricas.132","modelo_arboles - information",0.8175,0.1825,0.94898,0.68571,0.8,0.84536,"minsplit=2",1,4,"moviles121"
"resumen_metricas42","modelo_arboles - Gini",0.83,0.17,0.94792,0.71963,0.74725,0.90566,"minsplit=2",1,5,"moviles121"
"resumen_metricas.142","modelo_arboles - information",0.83,0.17,0.94792,0.71963,0.74725,0.90566,"minsplit=2",1,5,"moviles121"
"resumen_metricas52","modelo_arboles - Gini",0.7725,0.2275,0.95402,0.61404,0.78788,0.78,"minsplit=2",2,1,"moviles121"
"resumen_metricas.152","modelo_arboles - information",0.79,0.21,0.96552,0.66667,0.75758,0.81,"minsplit=2",2,1,"moviles121"
"resumen_metricas62","modelo_arboles - Gini",0.7875,0.2125,0.95327,0.57143,0.72897,0.87368,"minsplit=2",2,2,"moviles121"
"resumen_metricas.162","modelo_arboles - information",0.79,0.21,0.94393,0.64835,0.68224,0.87368,"minsplit=2",2,2,"moviles121"
"resumen_metricas72","modelo_arboles - Gini",0.8025,0.1975,0.89583,0.77895,0.59,0.93578,"minsplit=2",2,3,"moviles121"
"resumen_metricas.172","modelo_arboles - information",0.78,0.22,0.90625,0.82105,0.49,0.89908,"minsplit=2",2,3,"moviles121"
"resumen_metricas82","modelo_arboles - Gini",0.7925,0.2075,0.95238,0.72449,0.65049,0.84043,"minsplit=2",2,4,"moviles121"
"resumen_metricas.182","modelo_arboles - information",0.8025,0.1975,0.95238,0.72449,0.73786,0.78723,"minsplit=2",2,4,"moviles121"
"resumen_metricas92","modelo_arboles - Gini",0.8125,0.1875,0.91429,0.71569,0.69231,0.91176,"minsplit=2",2,5,"moviles121"
"resumen_metricas.192","modelo_arboles - information",0.805,0.195,0.91429,0.68627,0.69231,0.91176,"minsplit=2",2,5,"moviles121"
"resumen_metricas102","modelo_arboles - Gini",0.7675,0.2325,0.9596,0.63043,0.68,0.78899,"minsplit=2",3,1,"moviles121"
"resumen_metricas.1102","modelo_arboles - information",0.73,0.27,0.80808,0.6413,0.62,0.83486,"minsplit=2",3,1,"moviles121"
"resumen_metricas112","modelo_arboles - Gini",0.7625,0.2375,0.93,0.58824,0.6729,0.87912,"minsplit=2",3,2,"moviles121"
"resumen_metricas.1112","modelo_arboles - information",0.7725,0.2275,0.95,0.59804,0.69159,0.86813,"minsplit=2",3,2,"moviles121"
"resumen_metricas122","modelo_arboles - Gini",0.795,0.205,0.93069,0.65686,0.72,0.87629,"minsplit=2",3,3,"moviles121"
"resumen_metricas.1122","modelo_arboles - information",0.7975,0.2025,0.94059,0.62745,0.83,0.79381,"minsplit=2",3,3,"moviles121"
"resumen_metricas132","modelo_arboles - Gini",0.8075,0.1925,0.93939,0.79798,0.66972,0.83871,"minsplit=2",3,4,"moviles121"
"resumen_metricas.1132","modelo_arboles - information",0.805,0.195,0.93939,0.74747,0.70642,0.83871,"minsplit=2",3,4,"moviles121"
"resumen_metricas142","modelo_arboles - Gini",0.8025,0.1975,0.91089,0.64762,0.86905,0.8,"minsplit=2",3,5,"moviles121"
"resumen_metricas.1142","modelo_arboles - information",0.805,0.195,0.94059,0.72381,0.90476,0.68182,"minsplit=2",3,5,"moviles121"
"resumen_metricas19","modelo_arboles - Gini",0.7825,0.2175,0.92593,0.60606,0.67778,0.8932,"minsplit=2",1,1,"moviles122"
"resumen_metricas.119","modelo_arboles - information",0.7975,0.2025,0.92593,0.62626,0.72222,0.8932,"minsplit=2",1,1,"moviles122"
"resumen_metricas110","modelo_arboles - Gini",0.825,0.175,0.97561,0.81818,0.66087,0.89423,"minsplit=2",1,2,"moviles122"
"resumen_metricas.1110","modelo_arboles - information",0.84,0.16,0.97561,0.81818,0.70435,0.90385,"minsplit=2",1,2,"moviles122"
"resumen_metricas23","modelo_arboles - Gini",0.7575,0.2425,0.94,0.70787,0.66981,0.71429,"minsplit=2",1,3,"moviles122"
"resumen_metricas.123","modelo_arboles - information",0.765,0.235,0.94,0.69663,0.66038,0.7619,"minsplit=2",1,3,"moviles122"
"resumen_metricas33","modelo_arboles - Gini",0.8025,0.1975,0.94175,0.69369,0.74118,0.83168,"minsplit=2",1,4,"moviles122"
"resumen_metricas.133","modelo_arboles - information",0.8225,0.1775,0.95146,0.66667,0.76471,0.91089,"minsplit=2",1,4,"moviles122"
"resumen_metricas43","modelo_arboles - Gini",0.7775,0.2225,0.90654,0.66667,0.69231,0.85057,"minsplit=2",1,5,"moviles122"
"resumen_metricas.143","modelo_arboles - information",0.78,0.22,0.95327,0.65686,0.66346,0.85057,"minsplit=2",1,5,"moviles122"
"resumen_metricas53","modelo_arboles - Gini",0.7675,0.2325,0.96591,0.61261,0.65556,0.85586,"minsplit=2",2,1,"moviles122"
"resumen_metricas.153","modelo_arboles - information",0.795,0.205,0.96591,0.74775,0.53333,0.91892,"minsplit=2",2,1,"moviles122"
"resumen_metricas63","modelo_arboles - Gini",0.83,0.17,0.9646,0.75,0.72917,0.84112,"minsplit=2",2,2,"moviles122"
"resumen_metricas.163","modelo_arboles - information",0.825,0.175,0.9823,0.67857,0.80208,0.79439,"minsplit=2",2,2,"moviles122"
"resumen_metricas73","modelo_arboles - Gini",0.7725,0.2275,0.90385,0.63889,0.77083,0.78261,"minsplit=2",2,3,"moviles122"
"resumen_metricas.173","modelo_arboles - information",0.77,0.23,0.92308,0.58333,0.79167,0.79348,"minsplit=2",2,3,"moviles122"
"resumen_metricas83","modelo_arboles - Gini",0.795,0.205,0.91398,0.70874,0.71154,0.86,"minsplit=2",2,4,"moviles122"
"resumen_metricas.183","modelo_arboles - information",0.78,0.22,0.88172,0.67961,0.71154,0.86,"minsplit=2",2,4,"moviles122"
"resumen_metricas93","modelo_arboles - Gini",0.7975,0.2025,0.89216,0.75532,0.68421,0.87778,"minsplit=2",2,5,"moviles122"
"resumen_metricas.193","modelo_arboles - information",0.7975,0.2025,0.91176,0.73404,0.68421,0.87778,"minsplit=2",2,5,"moviles122"
"resumen_metricas103","modelo_arboles - Gini",0.77,0.23,0.96629,0.60606,0.72222,0.79508,"minsplit=2",3,1,"moviles122"
"resumen_metricas.1103","modelo_arboles - information",0.7625,0.2375,0.92135,0.59596,0.71111,0.81967,"minsplit=2",3,1,"moviles122"
"resumen_metricas113","modelo_arboles - Gini",0.77,0.23,0.93407,0.68687,0.69149,0.77586,"minsplit=2",3,2,"moviles122"
"resumen_metricas.1113","modelo_arboles - information",0.79,0.21,0.92308,0.67677,0.64894,0.89655,"minsplit=2",3,2,"moviles122"
"resumen_metricas123","modelo_arboles - Gini",0.7875,0.2125,0.92308,0.75824,0.62832,0.8481,"minsplit=2",3,3,"moviles122"
"resumen_metricas.1123","modelo_arboles - information",0.8,0.2,0.91453,0.69231,0.73451,0.8481,"minsplit=2",3,3,"moviles122"
"resumen_metricas133","modelo_arboles - Gini",0.79,0.21,0.90816,0.75652,0.66,0.85057,"minsplit=2",3,4,"moviles122"
"resumen_metricas.1133","modelo_arboles - information",0.7875,0.2125,0.91837,0.74783,0.67,0.82759,"minsplit=2",3,4,"moviles122"
"resumen_metricas143","modelo_arboles - Gini",0.8075,0.1925,0.94286,0.66667,0.73786,0.875,"minsplit=2",3,5,"moviles122"
"resumen_metricas.1143","modelo_arboles - information",0.8,0.2,0.94286,0.63542,0.67961,0.9375,"minsplit=2",3,5,"moviles122"
"resumen_metricas20","modelo_arboles - Gini",0.7875,0.2125,0.93458,0.72449,0.67033,0.79808,"minsplit=2",1,1,"moviles131"
"resumen_metricas.120","modelo_arboles - information",0.7675,0.2325,0.86916,0.73469,0.64835,0.79808,"minsplit=2",1,1,"moviles131"
"resumen_metricas114","modelo_arboles - Gini",0.805,0.195,0.93878,0.71875,0.68932,0.87379,"minsplit=2",1,2,"moviles131"
"resumen_metricas.1114","modelo_arboles - information",0.82,0.18,0.93878,0.66667,0.78641,0.8835,"minsplit=2",1,2,"moviles131"
"resumen_metricas24","modelo_arboles - Gini",0.785,0.215,0.87629,0.77885,0.57273,0.95506,"minsplit=2",1,3,"moviles131"
"resumen_metricas.124","modelo_arboles - information",0.785,0.215,0.93814,0.74038,0.55455,0.95506,"minsplit=2",1,3,"moviles131"
"resumen_metricas34","modelo_arboles - Gini",0.8175,0.1825,0.91837,0.72381,0.82222,0.81308,"minsplit=2",1,4,"moviles131"
"resumen_metricas.134","modelo_arboles - information",0.8,0.2,0.91837,0.6,0.82222,0.86916,"minsplit=2",1,4,"moviles131"
"resumen_metricas44","modelo_arboles - Gini",0.8,0.2,0.95,0.6701,0.68868,0.89691,"minsplit=2",1,5,"moviles131"
"resumen_metricas.144","modelo_arboles - information",0.8025,0.1975,0.95,0.61856,0.85849,0.7732,"minsplit=2",1,5,"moviles131"
"resumen_metricas54","modelo_arboles - Gini",0.8025,0.1975,0.92405,0.73636,0.69811,0.88571,"minsplit=2",2,1,"moviles131"
"resumen_metricas.154","modelo_arboles - information",0.755,0.245,0.91139,0.63636,0.80189,0.71429,"minsplit=2",2,1,"moviles131"
"resumen_metricas64","modelo_arboles - Gini",0.79,0.21,0.92453,0.67816,0.70526,0.82143,"minsplit=2",2,2,"moviles131"
"resumen_metricas.164","modelo_arboles - information",0.8125,0.1875,0.9434,0.66667,0.70526,0.89286,"minsplit=2",2,2,"moviles131"
"resumen_metricas74","modelo_arboles - Gini",0.8175,0.1825,0.97321,0.68932,0.74684,0.83019,"minsplit=2",2,3,"moviles131"
"resumen_metricas.174","modelo_arboles - information",0.8075,0.1925,0.97321,0.62136,0.6962,0.89623,"minsplit=2",2,3,"moviles131"
"resumen_metricas84","modelo_arboles - Gini",0.785,0.215,0.94792,0.69231,0.6729,0.84946,"minsplit=2",2,4,"moviles131"
"resumen_metricas.184","modelo_arboles - information",0.7725,0.2275,0.94792,0.70192,0.61682,0.84946,"minsplit=2",2,4,"moviles131"
"resumen_metricas94","modelo_arboles - Gini",0.785,0.215,0.91589,0.72917,0.67257,0.83333,"minsplit=2",2,5,"moviles131"
"resumen_metricas.194","modelo_arboles - information",0.78,0.22,0.93458,0.67708,0.68142,0.83333,"minsplit=2",2,5,"moviles131"
"resumen_metricas104","modelo_arboles - Gini",0.76,0.24,0.94737,0.6699,0.63462,0.80612,"minsplit=2",3,1,"moviles131"
"resumen_metricas.1104","modelo_arboles - information",0.7625,0.2375,0.94737,0.68932,0.625,0.80612,"minsplit=2",3,1,"moviles131"
"resumen_metricas115","modelo_arboles - Gini",0.815,0.185,0.95283,0.72449,0.74038,0.83696,"minsplit=2",3,2,"moviles131"
"resumen_metricas.1115","modelo_arboles - information",0.8175,0.1825,0.96226,0.71429,0.75,0.83696,"minsplit=2",3,2,"moviles131"
"resumen_metricas124","modelo_arboles - Gini",0.8175,0.1825,0.92381,0.77451,0.6087,0.94059,"minsplit=2",3,3,"moviles131"
"resumen_metricas.1124","modelo_arboles - information",0.805,0.195,0.93333,0.67647,0.65217,0.94059,"minsplit=2",3,3,"moviles131"
"resumen_metricas134","modelo_arboles - Gini",0.765,0.235,0.86792,0.66667,0.69892,0.79825,"minsplit=2",3,4,"moviles131"
"resumen_metricas.1134","modelo_arboles - information",0.7775,0.2225,0.88679,0.66667,0.76344,0.77193,"minsplit=2",3,4,"moviles131"
"resumen_metricas144","modelo_arboles - Gini",0.7875,0.2125,0.97727,0.73636,0.59813,0.88421,"minsplit=2",3,5,"moviles131"
"resumen_metricas.1144","modelo_arboles - information",0.82,0.18,0.97727,0.70909,0.70093,0.93684,"minsplit=2",3,5,"moviles131"
"resumen_metricas25","modelo_arboles - Gini",0.81,0.19,0.95918,0.73118,0.74038,0.80952,"minsplit=2",1,1,"moviles132"
"resumen_metricas.125","modelo_arboles - information",0.815,0.185,0.91837,0.73118,0.79808,0.80952,"minsplit=2",1,1,"moviles132"
"resumen_metricas116","modelo_arboles - Gini",0.7675,0.2325,0.93902,0.71429,0.59633,0.86538,"minsplit=2",1,2,"moviles132"
"resumen_metricas.1116","modelo_arboles - information",0.755,0.245,0.89024,0.69524,0.6055,0.86538,"minsplit=2",1,2,"moviles132"
"resumen_metricas26","modelo_arboles - Gini",0.8225,0.1775,0.90826,0.70297,0.84466,0.82759,"minsplit=2",1,3,"moviles132"
"resumen_metricas.126","modelo_arboles - information",0.825,0.175,0.93578,0.72277,0.75728,0.88506,"minsplit=2",1,3,"moviles132"
"resumen_metricas35","modelo_arboles - Gini",0.7725,0.2275,0.91753,0.64646,0.65657,0.86667,"minsplit=2",1,4,"moviles132"
"resumen_metricas.135","modelo_arboles - information",0.8025,0.1975,0.93814,0.64646,0.77778,0.84762,"minsplit=2",1,4,"moviles132"
"resumen_metricas45","modelo_arboles - Gini",0.8075,0.1925,0.9386,0.67647,0.68235,0.89899,"minsplit=2",1,5,"moviles132"
"resumen_metricas.145","modelo_arboles - information",0.81,0.19,0.9386,0.69608,0.67059,0.89899,"minsplit=2",1,5,"moviles132"
"resumen_metricas55","modelo_arboles - Gini",0.7675,0.2325,0.90909,0.64706,0.67368,0.82796,"minsplit=2",2,1,"moviles132"
"resumen_metricas.155","modelo_arboles - information",0.7625,0.2375,0.92727,0.60784,0.67368,0.82796,"minsplit=2",2,1,"moviles132"
"resumen_metricas65","modelo_arboles - Gini",0.8125,0.1875,0.96774,0.78351,0.67391,0.82203,"minsplit=2",2,2,"moviles132"
"resumen_metricas.165","modelo_arboles - information",0.825,0.175,0.96774,0.76289,0.71739,0.84746,"minsplit=2",2,2,"moviles132"
"resumen_metricas75","modelo_arboles - Gini",0.8,0.2,0.90722,0.76087,0.75472,0.78095,"minsplit=2",2,3,"moviles132"
"resumen_metricas.175","modelo_arboles - information",0.8275,0.1725,0.95876,0.73913,0.74528,0.86667,"minsplit=2",2,3,"moviles132"
"resumen_metricas85","modelo_arboles - Gini",0.7975,0.2025,0.92857,0.7094,0.70297,0.88095,"minsplit=2",2,4,"moviles132"
"resumen_metricas.185","modelo_arboles - information",0.795,0.205,0.92857,0.64103,0.80198,0.84524,"minsplit=2",2,4,"moviles132"
"resumen_metricas95","modelo_arboles - Gini",0.785,0.215,0.96078,0.69565,0.64151,0.84,"minsplit=2",2,5,"moviles132"
"resumen_metricas.195","modelo_arboles - information",0.7775,0.2225,0.97059,0.63043,0.66038,0.84,"minsplit=2",2,5,"moviles132"
"resumen_metricas105","modelo_arboles - Gini",0.815,0.185,0.95146,0.77419,0.67308,0.86,"minsplit=2",3,1,"moviles132"
"resumen_metricas.1105","modelo_arboles - information",0.8225,0.1775,0.97087,0.68817,0.75962,0.86,"minsplit=2",3,1,"moviles132"
"resumen_metricas117","modelo_arboles - Gini",0.765,0.235,0.90526,0.6129,0.63208,0.90566,"minsplit=2",3,2,"moviles132"
"resumen_metricas.1117","modelo_arboles - information",0.78,0.22,0.92632,0.54839,0.73585,0.89623,"minsplit=2",3,2,"moviles132"
"resumen_metricas125","modelo_arboles - Gini",0.7825,0.2175,0.93333,0.67033,0.63,0.875,"minsplit=2",3,3,"moviles132"
"resumen_metricas.1125","modelo_arboles - information",0.7725,0.2275,0.91429,0.64835,0.66,0.84615,"minsplit=2",3,3,"moviles132"
"resumen_metricas135","modelo_arboles - Gini",0.8325,0.1675,0.97917,0.7395,0.82418,0.80851,"minsplit=2",3,4,"moviles132"
"resumen_metricas.1135","modelo_arboles - information",0.8275,0.1725,0.97917,0.71429,0.8022,0.84043,"minsplit=2",3,4,"moviles132"
"resumen_metricas145","modelo_arboles - Gini",0.7825,0.2175,0.89109,0.69231,0.68687,0.86458,"minsplit=2",3,5,"moviles132"
"resumen_metricas.1145","modelo_arboles - information",0.775,0.225,0.89109,0.625,0.72727,0.86458,"minsplit=2",3,5,"moviles132"
"resumen_metricas27","modelo_arboles - Gini",0.7601,0.2399,0.9375,0.60215,0.61616,0.87037,"minsplit=2",1,1,"moviles211"
"resumen_metricas.127","modelo_arboles - information",0.75758,0.24242,0.9375,0.53763,0.66667,0.87037,"minsplit=2",1,1,"moviles211"
"resumen_metricas118","modelo_arboles - Gini",0.81313,0.18687,0.95413,0.67742,0.76923,0.82524,"minsplit=2",1,2,"moviles211"
"resumen_metricas.1118","modelo_arboles - information",0.78788,0.21212,0.86239,0.68817,0.72527,0.85437,"minsplit=2",1,2,"moviles211"
"resumen_metricas28","modelo_arboles - Gini",0.80051,0.19949,0.96,0.68908,0.66316,0.92683,"minsplit=2",1,3,"moviles211"
"resumen_metricas.128","modelo_arboles - information",0.79798,0.20202,0.97,0.68067,0.65263,0.92683,"minsplit=2",1,3,"moviles211"
"resumen_metricas36","modelo_arboles - Gini",0.77525,0.22475,0.91429,0.71579,0.66667,0.78302,"minsplit=2",1,4,"moviles211"
"resumen_metricas.136","modelo_arboles - information",0.77273,0.22727,0.89524,0.70526,0.66667,0.80189,"minsplit=2",1,4,"moviles211"
"resumen_metricas46","modelo_arboles - Gini",0.78788,0.21212,0.89535,0.69474,0.71074,0.88298,"minsplit=2",1,5,"moviles211"
"resumen_metricas.146","modelo_arboles - information",0.7803,0.2197,0.80233,0.72632,0.69421,0.92553,"minsplit=2",1,5,"moviles211"
"resumen_metricas56","modelo_arboles - Gini",0.81061,0.18939,0.9469,0.72727,0.73529,0.80645,"minsplit=2",2,1,"moviles211"
"resumen_metricas.156","modelo_arboles - information",0.82071,0.17929,0.9823,0.60227,0.77451,0.88172,"minsplit=2",2,1,"moviles211"
"resumen_metricas66","modelo_arboles - Gini",0.77778,0.22222,0.94845,0.58824,0.70103,0.88,"minsplit=2",2,2,"moviles211"
"resumen_metricas.166","modelo_arboles - information",0.80051,0.19949,0.94845,0.65686,0.72165,0.88,"minsplit=2",2,2,"moviles211"
"resumen_metricas76","modelo_arboles - Gini",0.76768,0.23232,0.92308,0.65957,0.74312,0.7549,"minsplit=2",2,3,"moviles211"
"resumen_metricas.176","modelo_arboles - information",0.78283,0.21717,0.92308,0.67021,0.7156,0.83333,"minsplit=2",2,3,"moviles211"
"resumen_metricas86","modelo_arboles - Gini",0.79545,0.20455,0.91209,0.79279,0.6383,0.84,"minsplit=2",2,4,"moviles211"
"resumen_metricas.186","modelo_arboles - information",0.78788,0.21212,0.92308,0.72072,0.68085,0.84,"minsplit=2",2,4,"moviles211"
