"","Modelo","overall_accuracy","overall_error","Factor_0_Accuracy","Factor_1_Accuracy","Factor_2_Accuracy","Factor_3_Accuracy","Detalle_1","experimento","grupo","dataset"
"resumen_metricas15","modelo_arboles - Gini",0.7975,0.2025,0.95833,0.66667,0.68085,0.89899,"detalle_1",1,1,"moviles112"
"resumen_metricas.115","modelo_arboles - information",0.785,0.215,0.95833,0.59459,0.71277,0.89899,"detalle_1",1,1,"moviles112"
"resumen_metricas16","modelo_arboles - Gini",0.825,0.175,0.94175,0.79,0.59,0.97938,"detalle_1",1,2,"moviles112"
"resumen_metricas.116","modelo_arboles - information",0.8275,0.1725,0.94175,0.72,0.75,0.89691,"detalle_1",1,2,"moviles112"
"resumen_metricas21","modelo_arboles - Gini",0.795,0.205,0.92857,0.72043,0.72897,0.80392,"detalle_1",1,3,"moviles112"
"resumen_metricas.121","modelo_arboles - information",0.8,0.2,0.94898,0.69892,0.69159,0.86275,"detalle_1",1,3,"moviles112"
"resumen_metricas31","modelo_arboles - Gini",0.78,0.22,0.9633,0.69565,0.67391,0.75701,"detalle_1",1,4,"moviles112"
"resumen_metricas.131","modelo_arboles - information",0.7425,0.2575,0.93578,0.58696,0.6413,0.76636,"detalle_1",1,4,"moviles112"
"resumen_metricas41","modelo_arboles - Gini",0.805,0.195,0.8617,0.79808,0.68224,0.89474,"detalle_1",1,5,"moviles112"
"resumen_metricas.141","modelo_arboles - information",0.825,0.175,0.88298,0.80769,0.80374,0.81053,"detalle_1",1,5,"moviles112"
"resumen_metricas51","modelo_arboles - Gini",0.82,0.18,0.9537,0.73333,0.69159,0.89474,"detalle_1",2,1,"moviles112"
"resumen_metricas.151","modelo_arboles - information",0.825,0.175,0.96296,0.7,0.72897,0.89474,"detalle_1",2,1,"moviles112"
"resumen_metricas61","modelo_arboles - Gini",0.805,0.195,0.93814,0.75676,0.76404,0.76699,"detalle_1",2,2,"moviles112"
"resumen_metricas.161","modelo_arboles - information",0.7775,0.2225,0.94845,0.64865,0.67416,0.84466,"detalle_1",2,2,"moviles112"
"resumen_metricas71","modelo_arboles - Gini",0.8275,0.1725,0.97115,0.73494,0.76415,0.82243,"detalle_1",2,3,"moviles112"
"resumen_metricas.171","modelo_arboles - information",0.8375,0.1625,0.97115,0.6988,0.79245,0.85981,"detalle_1",2,3,"moviles112"
"resumen_metricas81","modelo_arboles - Gini",0.77,0.23,0.94,0.67647,0.63366,0.83505,"detalle_1",2,4,"moviles112"
"resumen_metricas.181","modelo_arboles - information",0.7925,0.2075,0.94,0.63725,0.76238,0.83505,"detalle_1",2,4,"moviles112"
"resumen_metricas91","modelo_arboles - Gini",0.755,0.245,0.91209,0.63158,0.64948,0.85714,"detalle_1",2,5,"moviles112"
"resumen_metricas.191","modelo_arboles - information",0.775,0.225,0.89011,0.66667,0.69072,0.87755,"detalle_1",2,5,"moviles112"
"resumen_metricas101","modelo_arboles - Gini",0.81,0.19,0.93578,0.75248,0.6699,0.88506,"detalle_1",3,1,"moviles112"
"resumen_metricas.1101","modelo_arboles - information",0.805,0.195,0.95413,0.65347,0.72816,0.88506,"detalle_1",3,1,"moviles112"
"resumen_metricas111","modelo_arboles - Gini",0.805,0.195,0.9596,0.7551,0.67647,0.83168,"detalle_1",3,2,"moviles112"
"resumen_metricas.1111","modelo_arboles - information",0.82,0.18,0.9697,0.7449,0.67647,0.89109,"detalle_1",3,2,"moviles112"
"resumen_metricas121","modelo_arboles - Gini",0.81,0.19,0.95192,0.6701,0.71429,0.87963,"detalle_1",3,3,"moviles112"
"resumen_metricas.1121","modelo_arboles - information",0.8125,0.1875,0.96154,0.6701,0.82418,0.78704,"detalle_1",3,3,"moviles112"
"resumen_metricas131","modelo_arboles - Gini",0.7925,0.2075,0.91346,0.64948,0.77982,0.82222,"detalle_1",3,4,"moviles112"
"resumen_metricas.1131","modelo_arboles - information",0.7875,0.2125,0.91346,0.64948,0.7156,0.87778,"detalle_1",3,4,"moviles112"
"resumen_metricas141","modelo_arboles - Gini",0.785,0.215,0.92857,0.70093,0.75789,0.7807,"detalle_1",3,5,"moviles112"
"resumen_metricas.1141","modelo_arboles - information",0.77,0.23,0.92857,0.70093,0.65263,0.81579,"detalle_1",3,5,"moviles112"
"resumen_metricas17","modelo_arboles - Gini",0.805,0.195,0.90588,0.77228,0.80189,0.75926,"detalle_1",1,1,"moviles121"
"resumen_metricas.117","modelo_arboles - information",0.8075,0.1925,0.95294,0.72277,0.75472,0.82407,"detalle_1",1,1,"moviles121"
"resumen_metricas18","modelo_arboles - Gini",0.77,0.23,0.94318,0.73786,0.6036,0.83673,"detalle_1",1,2,"moviles121"
"resumen_metricas.118","modelo_arboles - information",0.77,0.23,0.94318,0.69903,0.63964,0.83673,"detalle_1",1,2,"moviles121"
"resumen_metricas22","modelo_arboles - Gini",0.84,0.16,0.95763,0.76852,0.725,0.87234,"detalle_1",1,3,"moviles121"
"resumen_metricas.122","modelo_arboles - information",0.815,0.185,0.9661,0.60185,0.8125,0.87234,"detalle_1",1,3,"moviles121"
"resumen_metricas32","modelo_arboles - Gini",0.795,0.205,0.92523,0.69524,0.62637,0.91753,"detalle_1",1,4,"moviles121"
"resumen_metricas.132","modelo_arboles - information",0.795,0.205,0.92523,0.69524,0.62637,0.91753,"detalle_1",1,4,"moviles121"
"resumen_metricas42","modelo_arboles - Gini",0.8025,0.1975,0.92157,0.75904,0.74107,0.78641,"detalle_1",1,5,"moviles121"
"resumen_metricas.142","modelo_arboles - information",0.8225,0.1775,0.94118,0.75904,0.64286,0.95146,"detalle_1",1,5,"moviles121"
"resumen_metricas52","modelo_arboles - Gini",0.7975,0.2025,0.92453,0.75248,0.69388,0.81053,"detalle_1",2,1,"moviles121"
"resumen_metricas.152","modelo_arboles - information",0.8,0.2,0.92453,0.73267,0.72449,0.81053,"detalle_1",2,1,"moviles121"
"resumen_metricas62","modelo_arboles - Gini",0.7975,0.2025,0.95918,0.65741,0.68687,0.90526,"detalle_1",2,2,"moviles121"
"resumen_metricas.162","modelo_arboles - information",0.7775,0.2225,0.97959,0.55556,0.72727,0.87368,"detalle_1",2,2,"moviles121"
"resumen_metricas72","modelo_arboles - Gini",0.775,0.225,0.91667,0.72449,0.61111,0.86735,"detalle_1",2,3,"moviles121"
"resumen_metricas.172","modelo_arboles - information",0.7825,0.2175,0.96875,0.67347,0.58333,0.92857,"detalle_1",2,3,"moviles121"
"resumen_metricas82","modelo_arboles - Gini",0.7925,0.2075,0.92929,0.70238,0.66346,0.85841,"detalle_1",2,4,"moviles121"
"resumen_metricas.182","modelo_arboles - information",0.79,0.21,0.94949,0.61905,0.70192,0.85841,"detalle_1",2,4,"moviles121"
"resumen_metricas92","modelo_arboles - Gini",0.805,0.195,0.91089,0.74312,0.74725,0.81818,"detalle_1",2,5,"moviles121"
"resumen_metricas.192","modelo_arboles - information",0.8075,0.1925,0.91089,0.69725,0.79121,0.83838,"detalle_1",2,5,"moviles121"
"resumen_metricas102","modelo_arboles - Gini",0.795,0.205,0.89796,0.67,0.7,0.89286,"detalle_1",3,1,"moviles121"
"resumen_metricas.1102","modelo_arboles - information",0.8075,0.1925,0.89796,0.67,0.81111,0.84821,"detalle_1",3,1,"moviles121"
"resumen_metricas112","modelo_arboles - Gini",0.79,0.21,0.90816,0.75728,0.70588,0.79381,"detalle_1",3,2,"moviles121"
"resumen_metricas.1112","modelo_arboles - information",0.805,0.195,0.89796,0.75728,0.65686,0.91753,"detalle_1",3,2,"moviles121"
"resumen_metricas122","modelo_arboles - Gini",0.8,0.2,0.9646,0.71717,0.68085,0.80851,"detalle_1",3,3,"moviles121"
"resumen_metricas.1122","modelo_arboles - information",0.7875,0.2125,0.9646,0.62626,0.7234,0.80851,"detalle_1",3,3,"moviles121"
"resumen_metricas132","modelo_arboles - Gini",0.7425,0.2575,0.86957,0.72549,0.55963,0.84536,"detalle_1",3,4,"moviles121"
"resumen_metricas.1132","modelo_arboles - information",0.78,0.22,0.96739,0.71569,0.61468,0.85567,"detalle_1",3,4,"moviles121"
"resumen_metricas142","modelo_arboles - Gini",0.8075,0.1925,0.92929,0.69792,0.81905,0.78,"detalle_1",3,5,"moviles121"
"resumen_metricas.1142","modelo_arboles - information",0.79,0.21,0.92929,0.63542,0.79048,0.8,"detalle_1",3,5,"moviles121"
"resumen_metricas19","modelo_arboles - Gini",0.825,0.175,0.90385,0.8,0.61957,0.94495,"detalle_1",1,1,"moviles122"
"resumen_metricas.119","modelo_arboles - information",0.8175,0.1825,0.92308,0.72632,0.6413,0.94495,"detalle_1",1,1,"moviles122"
"resumen_metricas110","modelo_arboles - Gini",0.7875,0.2125,0.96774,0.68421,0.68644,0.84043,"detalle_1",1,2,"moviles122"
"resumen_metricas.1110","modelo_arboles - information",0.7625,0.2375,0.93548,0.58947,0.70339,0.84043,"detalle_1",1,2,"moviles122"
"resumen_metricas23","modelo_arboles - Gini",0.8,0.2,0.92308,0.70755,0.77778,0.81053,"detalle_1",1,3,"moviles122"
"resumen_metricas.123","modelo_arboles - information",0.8025,0.1975,0.93407,0.64151,0.85185,0.8,"detalle_1",1,3,"moviles122"
"resumen_metricas33","modelo_arboles - Gini",0.7875,0.2125,0.89524,0.81373,0.6383,0.78788,"detalle_1",1,4,"moviles122"
"resumen_metricas.133","modelo_arboles - information",0.7775,0.2225,0.8381,0.82353,0.60638,0.82828,"detalle_1",1,4,"moviles122"
"resumen_metricas43","modelo_arboles - Gini",0.8,0.2,0.96262,0.67647,0.69318,0.84466,"detalle_1",1,5,"moviles122"
"resumen_metricas.143","modelo_arboles - information",0.8,0.2,0.96262,0.67647,0.69318,0.84466,"detalle_1",1,5,"moviles122"
"resumen_metricas53","modelo_arboles - Gini",0.7425,0.2575,0.82609,0.66949,0.70588,0.79545,"detalle_1",2,1,"moviles122"
"resumen_metricas.153","modelo_arboles - information",0.7525,0.2475,0.86957,0.61017,0.68627,0.89773,"detalle_1",2,1,"moviles122"
"resumen_metricas63","modelo_arboles - Gini",0.7925,0.2075,0.94059,0.74227,0.65094,0.84375,"detalle_1",2,2,"moviles122"
"resumen_metricas.163","modelo_arboles - information",0.7825,0.2175,0.92079,0.80412,0.53774,0.88542,"detalle_1",2,2,"moviles122"
"resumen_metricas73","modelo_arboles - Gini",0.7775,0.2225,0.96842,0.66981,0.64356,0.84694,"detalle_1",2,3,"moviles122"
"resumen_metricas.173","modelo_arboles - information",0.7775,0.2225,0.96842,0.66038,0.64356,0.85714,"detalle_1",2,3,"moviles122"
"resumen_metricas83","modelo_arboles - Gini",0.82,0.18,0.96226,0.7551,0.77895,0.77228,"detalle_1",2,4,"moviles122"
"resumen_metricas.183","modelo_arboles - information",0.8325,0.1675,0.96226,0.67347,0.86316,0.82178,"detalle_1",2,4,"moviles122"
"resumen_metricas93","modelo_arboles - Gini",0.825,0.175,0.91509,0.82716,0.65625,0.88034,"detalle_1",2,5,"moviles122"
"resumen_metricas.193","modelo_arboles - information",0.855,0.145,0.9434,0.75309,0.82292,0.87179,"detalle_1",2,5,"moviles122"
"resumen_metricas103","modelo_arboles - Gini",0.81,0.19,0.94,0.70787,0.70536,0.88889,"detalle_1",3,1,"moviles122"
"resumen_metricas.1103","modelo_arboles - information",0.81,0.19,0.94,0.70787,0.73214,0.85859,"detalle_1",3,1,"moviles122"
"resumen_metricas113","modelo_arboles - Gini",0.785,0.215,0.89011,0.68224,0.76,0.82353,"detalle_1",3,2,"moviles122"
"resumen_metricas.1113","modelo_arboles - information",0.79,0.21,0.91209,0.57944,0.81,0.88235,"detalle_1",3,2,"moviles122"
"resumen_metricas123","modelo_arboles - Gini",0.8,0.2,0.9537,0.61538,0.72222,0.89796,"detalle_1",3,3,"moviles122"
"resumen_metricas.1123","modelo_arboles - information",0.7975,0.2025,0.9537,0.60577,0.72222,0.89796,"detalle_1",3,3,"moviles122"
"resumen_metricas133","modelo_arboles - Gini",0.79,0.21,0.98113,0.63725,0.66316,0.86598,"detalle_1",3,4,"moviles122"
"resumen_metricas.1133","modelo_arboles - information",0.8,0.2,0.98113,0.67647,0.69474,0.83505,"detalle_1",3,4,"moviles122"
"resumen_metricas143","modelo_arboles - Gini",0.78,0.22,0.92632,0.78571,0.58252,0.83654,"detalle_1",3,5,"moviles122"
"resumen_metricas.1143","modelo_arboles - information",0.7825,0.2175,0.90526,0.78571,0.61165,0.83654,"detalle_1",3,5,"moviles122"
"resumen_metricas20","modelo_arboles - Gini",0.7875,0.2125,0.93333,0.76636,0.61053,0.84259,"detalle_1",1,1,"moviles131"
"resumen_metricas.120","modelo_arboles - information",0.77,0.23,0.93333,0.63551,0.68421,0.84259,"detalle_1",1,1,"moviles131"
"resumen_metricas114","modelo_arboles - Gini",0.795,0.205,0.93636,0.63918,0.74,0.84946,"detalle_1",1,2,"moviles131"
"resumen_metricas.1114","modelo_arboles - information",0.795,0.205,0.95455,0.64948,0.71,0.84946,"detalle_1",1,2,"moviles131"
"resumen_metricas24","modelo_arboles - Gini",0.81,0.19,0.90217,0.79245,0.68085,0.86111,"detalle_1",1,3,"moviles131"
"resumen_metricas.124","modelo_arboles - information",0.785,0.215,0.92391,0.66038,0.70213,0.86111,"detalle_1",1,3,"moviles131"
"resumen_metricas34","modelo_arboles - Gini",0.8275,0.1725,0.9823,0.7449,0.69231,0.85714,"detalle_1",1,4,"moviles131"
"resumen_metricas.134","modelo_arboles - information",0.8125,0.1875,0.9823,0.63265,0.74725,0.85714,"detalle_1",1,4,"moviles131"
"resumen_metricas44","modelo_arboles - Gini",0.84,0.16,0.92632,0.76087,0.74167,0.95699,"detalle_1",1,5,"moviles131"
"resumen_metricas.144","modelo_arboles - information",0.7875,0.2125,0.90526,0.6087,0.78333,0.84946,"detalle_1",1,5,"moviles131"
"resumen_metricas54","modelo_arboles - Gini",0.78,0.22,0.95652,0.71569,0.64151,0.83,"detalle_1",2,1,"moviles131"
"resumen_metricas.154","modelo_arboles - information",0.775,0.225,0.96739,0.70588,0.61321,0.84,"detalle_1",2,1,"moviles131"
"resumen_metricas64","modelo_arboles - Gini",0.7875,0.2125,0.87619,0.69444,0.7093,0.86139,"detalle_1",2,2,"moviles131"
"resumen_metricas.164","modelo_arboles - information",0.815,0.185,0.92381,0.73148,0.7093,0.88119,"detalle_1",2,2,"moviles131"
"resumen_metricas74","modelo_arboles - Gini",0.82,0.18,0.91228,0.76042,0.7767,0.81609,"detalle_1",2,3,"moviles131"
"resumen_metricas.174","modelo_arboles - information",0.8275,0.1725,0.89474,0.66667,0.8932,0.83908,"detalle_1",2,3,"moviles131"
"resumen_metricas84","modelo_arboles - Gini",0.7625,0.2375,0.88421,0.68,0.70115,0.77966,"detalle_1",2,4,"moviles131"
"resumen_metricas.184","modelo_arboles - information",0.7625,0.2375,0.8,0.62,0.75862,0.85593,"detalle_1",2,4,"moviles131"
"resumen_metricas94","modelo_arboles - Gini",0.8025,0.1975,0.96809,0.7234,0.69492,0.85106,"detalle_1",2,5,"moviles131"
"resumen_metricas.194","modelo_arboles - information",0.7925,0.2075,0.97872,0.67021,0.69492,0.85106,"detalle_1",2,5,"moviles131"
"resumen_metricas104","modelo_arboles - Gini",0.7725,0.2275,0.88764,0.69388,0.75962,0.76147,"detalle_1",3,1,"moviles131"
"resumen_metricas.1104","modelo_arboles - information",0.7625,0.2375,0.88764,0.66327,0.68269,0.82569,"detalle_1",3,1,"moviles131"
"resumen_metricas115","modelo_arboles - Gini",0.8425,0.1575,0.9292,0.75532,0.72381,0.96591,"detalle_1",3,2,"moviles131"
"resumen_metricas.1115","modelo_arboles - information",0.8425,0.1575,0.93805,0.74468,0.72381,0.96591,"detalle_1",3,2,"moviles131"
"resumen_metricas124","modelo_arboles - Gini",0.8225,0.1775,0.91753,0.76923,0.73585,0.88172,"detalle_1",3,3,"moviles131"
"resumen_metricas.1124","modelo_arboles - information",0.805,0.195,0.92784,0.71154,0.71698,0.88172,"detalle_1",3,3,"moviles131"
"resumen_metricas134","modelo_arboles - Gini",0.7575,0.2425,0.93878,0.66667,0.67045,0.75728,"detalle_1",3,4,"moviles131"
"resumen_metricas.1134","modelo_arboles - information",0.7525,0.2475,0.89796,0.67568,0.60227,0.82524,"detalle_1",3,4,"moviles131"
"resumen_metricas144","modelo_arboles - Gini",0.8025,0.1975,0.96117,0.66667,0.63918,0.91589,"detalle_1",3,5,"moviles131"
"resumen_metricas.1144","modelo_arboles - information",0.7925,0.2075,0.96117,0.6129,0.70103,0.86916,"detalle_1",3,5,"moviles131"
"resumen_metricas25","modelo_arboles - Gini",0.81,0.19,0.91346,0.79775,0.68224,0.85,"detalle_1",1,1,"moviles132"
"resumen_metricas.125","modelo_arboles - information",0.7875,0.2125,0.90385,0.70787,0.68224,0.85,"detalle_1",1,1,"moviles132"
"resumen_metricas116","modelo_arboles - Gini",0.78,0.22,0.93548,0.59091,0.7551,0.86869,"detalle_1",1,2,"moviles132"
"resumen_metricas.1116","modelo_arboles - information",0.795,0.205,0.93548,0.62727,0.77551,0.86869,"detalle_1",1,2,"moviles132"
"resumen_metricas26","modelo_arboles - Gini",0.82,0.18,0.91262,0.80583,0.67742,0.87129,"detalle_1",1,3,"moviles132"
"resumen_metricas.126","modelo_arboles - information",0.8075,0.1925,0.97087,0.68932,0.6129,0.94059,"detalle_1",1,3,"moviles132"
"resumen_metricas35","modelo_arboles - Gini",0.795,0.205,0.92079,0.68269,0.79798,0.78125,"detalle_1",1,4,"moviles132"
"resumen_metricas.135","modelo_arboles - information",0.7825,0.2175,0.94059,0.64423,0.69697,0.85417,"detalle_1",1,4,"moviles132"
"resumen_metricas45","modelo_arboles - Gini",0.8025,0.1975,0.93939,0.74468,0.62136,0.90385,"detalle_1",1,5,"moviles132"
"resumen_metricas.145","modelo_arboles - information",0.7875,0.2125,0.94949,0.6383,0.69903,0.85577,"detalle_1",1,5,"moviles132"
"resumen_metricas55","modelo_arboles - Gini",0.7875,0.2125,0.93333,0.70435,0.67,0.8625,"detalle_1",2,1,"moviles132"
"resumen_metricas.155","modelo_arboles - information",0.7925,0.2075,0.88571,0.67826,0.75,0.8875,"detalle_1",2,1,"moviles132"
"resumen_metricas65","modelo_arboles - Gini",0.7675,0.2325,0.94949,0.70103,0.5534,0.87129,"detalle_1",2,2,"moviles132"
"resumen_metricas.165","modelo_arboles - information",0.7575,0.2425,0.93939,0.6701,0.5534,0.87129,"detalle_1",2,2,"moviles132"
"resumen_metricas75","modelo_arboles - Gini",0.795,0.205,0.89691,0.74737,0.67619,0.86408,"detalle_1",2,3,"moviles132"
"resumen_metricas.175","modelo_arboles - information",0.7775,0.2225,0.93814,0.58947,0.74286,0.83495,"detalle_1",2,3,"moviles132"
"resumen_metricas85","modelo_arboles - Gini",0.7975,0.2025,0.94048,0.69388,0.75,0.81746,"detalle_1",2,4,"moviles132"
"resumen_metricas.185","modelo_arboles - information",0.795,0.205,0.94048,0.68367,0.75,0.81746,"detalle_1",2,4,"moviles132"
"resumen_metricas95","modelo_arboles - Gini",0.795,0.205,0.91304,0.69474,0.71,0.84444,"detalle_1",2,5,"moviles132"
"resumen_metricas.195","modelo_arboles - information",0.8025,0.1975,0.93043,0.69474,0.7,0.86667,"detalle_1",2,5,"moviles132"
"resumen_metricas105","modelo_arboles - Gini",0.8125,0.1875,0.97248,0.68317,0.7957,0.78351,"detalle_1",3,1,"moviles132"
"resumen_metricas.1105","modelo_arboles - information",0.8025,0.1975,0.97248,0.60396,0.76344,0.85567,"detalle_1",3,1,"moviles132"
"resumen_metricas117","modelo_arboles - Gini",0.8075,0.1925,0.91262,0.65625,0.68539,0.9375,"detalle_1",3,2,"moviles132"
"resumen_metricas.1117","modelo_arboles - information",0.7875,0.2125,0.92233,0.58333,0.75281,0.86607,"detalle_1",3,2,"moviles132"
"resumen_metricas125","modelo_arboles - Gini",0.7575,0.2425,0.91,0.76,0.58772,0.80233,"detalle_1",3,3,"moviles132"
"resumen_metricas.1125","modelo_arboles - information",0.7725,0.2275,0.89,0.74,0.67544,0.80233,"detalle_1",3,3,"moviles132"
"resumen_metricas135","modelo_arboles - Gini",0.815,0.185,0.94318,0.70192,0.78761,0.85263,"detalle_1",3,4,"moviles132"
"resumen_metricas.1135","modelo_arboles - information",0.7975,0.2025,0.94318,0.75962,0.58407,0.95789,"detalle_1",3,4,"moviles132"
"resumen_metricas145","modelo_arboles - Gini",0.805,0.195,0.95,0.68687,0.71429,0.85455,"detalle_1",3,5,"moviles132"
"resumen_metricas.1145","modelo_arboles - information",0.795,0.205,0.95,0.62626,0.73626,0.85455,"detalle_1",3,5,"moviles132"
"resumen_metricas27","modelo_arboles - Gini",0.78535,0.21465,0.8972,0.7191,0.69811,0.81915,"detalle_1",1,1,"moviles211"
"resumen_metricas.127","modelo_arboles - information",0.77525,0.22475,0.90654,0.66292,0.66981,0.85106,"detalle_1",1,1,"moviles211"
"resumen_metricas118","modelo_arboles - Gini",0.77273,0.22727,0.92784,0.64762,0.71845,0.81319,"detalle_1",1,2,"moviles211"
"resumen_metricas.1118","modelo_arboles - information",0.78283,0.21717,0.93814,0.65714,0.6699,0.89011,"detalle_1",1,2,"moviles211"
"resumen_metricas28","modelo_arboles - Gini",0.80556,0.19444,0.95652,0.80612,0.52427,0.95146,"detalle_1",1,3,"moviles211"
"resumen_metricas.128","modelo_arboles - information",0.79293,0.20707,0.95652,0.73469,0.61165,0.8835,"detalle_1",1,3,"moviles211"
"resumen_metricas36","modelo_arboles - Gini",0.80051,0.19949,0.93069,0.67368,0.78723,0.80189,"detalle_1",1,4,"moviles211"
"resumen_metricas.136","modelo_arboles - information",0.80556,0.19444,0.93069,0.64211,0.7766,0.85849,"detalle_1",1,4,"moviles211"
"resumen_metricas46","modelo_arboles - Gini",0.80808,0.19192,0.89899,0.7963,0.68889,0.83838,"detalle_1",1,5,"moviles211"
"resumen_metricas.146","modelo_arboles - information",0.81313,0.18687,0.94949,0.73148,0.73333,0.83838,"detalle_1",1,5,"moviles211"
"resumen_metricas56","modelo_arboles - Gini",0.75505,0.24495,0.96809,0.57843,0.72727,0.76238,"detalle_1",2,1,"moviles211"
"resumen_metricas.156","modelo_arboles - information",0.75253,0.24747,0.98936,0.54902,0.65657,0.83168,"detalle_1",2,1,"moviles211"
"resumen_metricas66","modelo_arboles - Gini",0.80051,0.19949,0.94792,0.71429,0.73958,0.80189,"detalle_1",2,2,"moviles211"
"resumen_metricas.166","modelo_arboles - information",0.81313,0.18687,0.97917,0.65306,0.73958,0.87736,"detalle_1",2,2,"moviles211"
"resumen_metricas76","modelo_arboles - Gini",0.80303,0.19697,0.89216,0.75701,0.70526,0.8587,"detalle_1",2,3,"moviles211"
"resumen_metricas.176","modelo_arboles - information",0.78788,0.21212,0.83333,0.73832,0.72632,0.8587,"detalle_1",2,3,"moviles211"
"resumen_metricas86","modelo_arboles - Gini",0.76515,0.23485,0.9,0.66019,0.65625,0.84536,"detalle_1",2,4,"moviles211"
"resumen_metricas.186","modelo_arboles - information",0.76515,0.23485,0.9,0.66019,0.65625,0.84536,"detalle_1",2,4,"moviles211"
"resumen_metricas96","modelo_arboles - Gini",0.82828,0.17172,0.95192,0.75294,0.66364,0.94845,"detalle_1",2,5,"moviles211"
"resumen_metricas.196","modelo_arboles - information",0.81818,0.18182,0.95192,0.76471,0.6,0.96907,"detalle_1",2,5,"moviles211"
"resumen_metricas106","modelo_arboles - Gini",0.81061,0.18939,0.91304,0.76636,0.68085,0.8835,"detalle_1",3,1,"moviles211"
